Price,Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,predicted_rent
295000,140,2,3,0,0,0,1,0,1761.9920290394614
22500,46,0,2,0,0,1,0,0,387.16989550013795
485000,152,3,4,0,0,1,0,0,1831.6939939519918
1250000,527,0,10,0,0,0,1,0,5211.0024049142185
67000,75,1,2,0,0,1,0,0,766.781800506988
147000,475,4,4,0,0,1,0,0,4649.000757876663
280000,120,4,3,0,0,1,0,0,1631.4505329769736
459000,149,8,3,0,0,1,0,0,2428.5394702633866
150000,160,1,3,0,0,1,0,0,1545.6326651760255
162000,463,0,5,0,0,1,0,0,4066.942105645642
395000,445,5,4,0,0,1,0,0,4539.415395277556
240000,250,3,3,0,0,1,0,0,2570.1838067726185
195500,45,2,2,0,0,1,0,0,657.1964379078812
1150000,288,4,4,0,0,0,1,0,3341.5240992820263
670000,253,3,3,0,0,1,0,0,2595.0582441085144
850000,128,2,4,0,0,0,1,0,1736.5694198478575
450000,319,6,3,0,0,1,0,0,3559.7728977777924
170000,85,1,3,0,0,1,0,0,923.7717317786226
270000,85,1,3,0,0,1,0,0,923.7717317786226
850000,202,3,4,0,0,0,1,0,2489.29788489315
289900,166,2,4,0,0,1,0,0,1808.615690759653
209990,145,0,3,0,0,1,0,0,1282.1014677366907
349990,170,0,5,0,0,1,0,0,1637.5387258397866
90000,96,2,2,0,0,1,0,0,1080.0618726181153
291000,183,5,4,0,0,1,0,0,2367.047867942627
45000,44,1,2,0,0,1,0,0,509.74594803606146
208050,77,1,2,0,0,1,0,0,783.3647587309188
349000,1000,2,4,0,0,1,0,0,8723.709270138776
199900,160,4,3,0,0,1,0,0,1963.1096974555885
235000,35,3,4,0,0,0,1,0,1104.6208731949318
50000,48,0,2,0,0,1,0,0,403.7528537240687
400000,187,0,2,0,0,1,0,0,1556.268450287256
152000,160,1,3,0,0,1,0,0,1545.6326651760255
290000,208,4,6,0,0,1,0,0,2583.3261152858686
255000,172,2,3,0,0,1,0,0,1784.2894252794647
749000,621,4,6,0,0,1,0,0,6007.70698852757
58000,59,0,1,0,0,1,0,0,420.88398380370717
252500,168,2,3,0,0,1,0,0,1751.1235088316032
57000,94,1,2,0,0,1,0,0,924.3199036343302
295000,246,3,4,0,0,1,0,0,2611.093030476737
200000,112,1,2,0,0,1,0,0,1073.566527649707
1750000,220,5,6,0,0,1,0,0,2821.982875389307
325000,140,2,3,0,0,1,0,0,1518.9620936965725
425000,220,0,3,0,0,1,0,0,1903.9624011340939
390000,112,2,3,0,0,0,1,0,1529.830613904431
149500,100,2,3,0,0,1,0,0,1187.3029292179576
59900,479,0,3,0,0,1,0,0,4051.455491133127
165000,102,0,2,0,0,1,0,0,851.492725770199
2900000,580,7,6,0,0,0,1,0,6328.26331255944
155000,639,2,3,0,0,1,0,0,5656.4101705672965
