Price,Prop_type,Size,Bath,Bed,City,Division
295000,1,140,2,3,Porto, Lordelo do Ouro e Massarelos  
22500,1,46,0,2,Baião, Ancede e Ribadouro  
485000,1,152,3,4,Vila do Conde, Vila Chã  
1250000,1,527,0,10,Porto, Aldoar
67000,1,75,1,2,Paços de Ferreira, Carvalhosa  
147000,1,475,4,4,Trofa, Alvarelhos e Guidões  
280000,1,120,4,3,Maia, Nogueira e Silva Escura  
459000,1,149,8,3,Vila Nova de Gaia, Gulpilhares e Valadares  
150000,1,160,1,3,Amarante, Candemil  
162000,1,463,0,5,Gondomar, Gondomar (São Cosme)
395000,1,445,5,4,Gondomar, Gondomar (São Cosme)
240000,1,250,3,3,Felgueiras, Margaride (Santa Eulália)
195500,1,45,2,2,Gondomar, Fânzeres e São Pedro da Cova  
1150000,1,288,4,4,Porto, Ramalde  
670000,1,253,3,3,Maia, Nogueira e Silva Escura  
850000,1,128,2,4,Porto, Lordelo do Ouro e Massarelos  
450000,1,319,6,3,Trofa, Coronado (São Romão e São Mamede)  
170000,1,85,1,3,Maia, Cidade da Maia  
270000,1,85,1,3,Maia, Cidade da Maia  
850000,1,202,3,4,Porto, Lordelo do Ouro e Massarelos  
289900,1,166,2,4,Vila Nova de Gaia, Arcozelo  
209990,1,145,0,3,Santo Tirso, Roriz  
349990,1,170,0,5,Póvoa de Varzim, Póvoa de Varzim
90000,1,96,2,2,Marco de Canaveses, Paredes de Viadores e Manhuncelos  
291000,1,183,5,4,Vila Nova de Gaia, Vilar de Andorinho  
45000,1,44,1,2,Lousada, Lustosa e Barrosas (Santo Estêvão)  
208050,1,77,1,2,Matosinhos, Custóias
349000,1,1000,2,4,Maia, Moreira  
199900,1,160,4,3,Felgueiras, Pedreira
235000,1,35,3,4,Porto, Bonfim  
50000,1,48,0,2,Felgueiras, Margaride (Santa Eulália)
400000,1,187,0,2,Felgueiras, Margaride (Santa Eulália)
152000,1,160,1,3,Baião, Teixeira e Teixeiró  
290000,1,208,4,6,Valongo, Ermesinde  
255000,1,172,2,3,Penafiel, Duas Igrejas  
749000,1,621,4,6,Gondomar, Gondomar (São Cosme)
58000,1,59,0,1,Amarante, Fregim  
252500,1,168,2,3,Penafiel, São Martinho Recezinhos  
57000,1,94,1,2,Paredes, Vandoma  
295000,1,246,3,4,Valongo, Valongo  
200000,1,112,1,2,Gondomar, Gondomar (São Cosme)
1750000,1,220,5,6,Paredes, Vandoma  
325000,1,140,2,3,Felgueiras, Margaride (Santa Eulália)
425000,1,220,0,3,Gondomar, Rio Tinto  
390000,1,112,2,3,Porto, Aldoar
149500,1,100,2,3,Santo Tirso, Santo Tirso
59900,1,479,0,3,Felgueiras, Torrados e Sousa  
165000,1,102,0,2,Vila Nova de Gaia, Serzedo e Perosinho  
2900000,1,580,7,6,Porto, Aldoar
155000,1,639,2,3,Santo Tirso, Rebordões  
357000,1,177,3,3,Marco de Canaveses, Paredes de Viadores e Manhuncelos  
700000,1,245,4,3,Porto, Lordelo do Ouro e Massarelos  
75000,1,80,0,1,Gondomar, Fânzeres e São Pedro da Cova  
355000,1,279,4,4,Valongo, Alfena  
110000,1,72,0,2,Amarante, Lomba  
849500,1,220,4,4,Vila Nova de Gaia, Gulpilhares e Valadares  
150000,1,26,1,1,Porto, Cedofeita
180000,1,40,1,1,Porto, Cedofeita
350000,1,168,2,4,Vila Nova de Gaia, Canidelo  
275000,1,142,3,3,Gondomar, Fânzeres e São Pedro da Cova  
159900,1,112,2,3,Santo Tirso, Rebordões  
106500,1,92,1,3,Trofa, Alvarelhos e Guidões  
430000,1,163,3,3,Maia, Pedrouços  
25000,1,248,0,2,Santo Tirso, Vila Nova do Campo  
60000,1,50,1,2,Lousada, Nevogilde  
35000,1,90,0,1,Penafiel, Canelas  
167500,1,88,2,4,Penafiel, Canelas  
79950,1,94,0,3,Felgueiras, Vila Cova da Lixa e Borba de Godim  
215000,1,122,3,3,Felgueiras, Airães  
51500,1,120,0,0,Felgueiras, Pombeiro de Ribavizela  
106000,1,161,1,2,Amarante, Fregim  
47500,1,63,0,0,Baião, Teixeira e Teixeiró  
3500,1,44,0,1,Baião, Teixeira e Teixeiró  
750000,1,212,5,4,Maia, Cidade da Maia  
125000,1,265,6,5,Santo Tirso, Santo Tirso
449000,1,190,4,4,Maia, Moreira  
265000,1,350,3,4,Trofa, Coronado (São Romão e São Mamede)  
1350000,1,372,5,4,Porto, Aldoar
270000,1,296,3,3,Santo Tirso, Roriz  
295000,1,300,2,3,Santo Tirso, Areias
279000,1,209,3,4,Valongo, Ermesinde  
55000,1,82,1,2,Felgueiras, Margaride (Santa Eulália)
139000,1,84,2,4,Vila Nova de Gaia, Pedroso e Seixezelo  
1200000,1,165,10,8,Porto, Aldoar
130000,1,43,1,2,Gondomar, Gondomar (São Cosme)
165000,1,112,1,2,Paredes, Vilela  
66000,1,93,0,0,Paços de Ferreira, Eiriz  
585000,1,300,7,4,Valongo, Valongo  
494000,1,210,4,4,Matosinhos, Custóias
695000,1,278,4,4,Matosinhos, São Mamede de Infesta e Senhora da Hora  
155000,1,56,1,3,Vila Nova de Gaia, Sandim
36500,1,102,0,2,Amarante, Figueiró (Santiago e Santa Cristina)  
450000,1,154,4,4,Matosinhos, Perafita
530000,1,260,3,3,Vila Nova de Gaia, Serzedo e Perosinho  
110000,1,40,1,2,Matosinhos, São Mamede de Infesta e Senhora da Hora  
170000,1,240,2,3,Valongo, Ermesinde  
289900,1,174,3,4,Vila Nova de Gaia, Serzedo e Perosinho  
175000,1,134,2,3,Valongo, Ermesinde  
45000,1,104,0,2,Marco de Canaveses, Sande e São Lourenço  
70000,1,90,2,3,Vila Nova de Gaia, Serzedo e Perosinho  
435000,1,384,3,5,Paredes, Vilela  
160000,1,200,1,4,Amarante, Vila Meã  
125000,1,99,1,2,Amarante, Real
195000,1,196,1,2,Penafiel, Paço de Sousa  
300000,1,144,2,5,Porto, Lordelo do Ouro e Massarelos  
199000,1,74,2,3,Vila do Conde, Vila do Conde  
189000,1,52,1,2,Penafiel, Eja  
430000,1,168,3,4,Póvoa de Varzim, Póvoa de Varzim
1300000,1,450,0,6,Amarante, Amarante (São Gonçalo)
98000,1,110,1,2,Vila Nova de Gaia, Oliveira do Douro  
175000,1,74,2,2,Matosinhos, Matosinhos e Leça da Palmeira  
780000,1,251,4,4,Vila Nova de Gaia, Madalena  
990000,1,254,3,4,Porto, Aldoar
350000,1,130,0,3,Penafiel, Guilhufe e Urrô  
729750,1,188,4,3,Gondomar, Fânzeres e São Pedro da Cova  
330000,1,152,3,5,Santo Tirso, Santo Tirso
274900,1,219,3,3,Santo Tirso, São Tomé Negrelos  
245000,1,280,2,5,Trofa, Muro  
430000,1,277,3,4,Matosinhos, São Mamede de Infesta e Senhora da Hora  
228000,1,134,0,3,Vila do Conde, Aveleda  
45000,1,132,1,2,Penafiel, Valpedre  
245000,1,104,1,3,Trofa, Bougado (São Martinho e Santiago)  
250000,1,199,3,2,Maia, Águas Santas  
380000,1,172,3,3,Gondomar, Gondomar (São Cosme)
265000,1,214,3,3,Felgueiras, Margaride (Santa Eulália)
345500,1,158,3,3,Vila Nova de Gaia, Canidelo  
1800000,1,580,4,8,Porto, Lordelo do Ouro e Massarelos  
360000,1,103,0,2,Gondomar, Rio Tinto  
265000,1,80,2,4,Porto, Bonfim  
120000,1,30,1,1,Maia, Águas Santas  
126500,1,263,1,2,Felgueiras, Vila Fria e Vizela (São Jorge)  
125000,1,60,2,2,Valongo, Ermesinde  
348500,1,132,2,3,Vila Nova de Gaia, São Felix da Marinha  
474500,1,141,4,3,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
320000,1,255,4,4,Gondomar, Fânzeres e São Pedro da Cova  
113000,1,126,1,2,Paredes, Baltar  
85000,1,170,2,2,Vila Nova de Gaia, Pedroso e Seixezelo  
69000,1,56,1,2,Penafiel, Penafiel  
419000,1,448,5,4,Gondomar, Gondomar (São Cosme)
235000,1,393,2,3,Amarante, Mancelos  
295000,1,154,3,3,Maia, Vila Nova da Telha  
180000,1,120,0,4,Valongo, Alfena  
215000,1,190,0,2,Santo Tirso, Roriz  
300000,1,132,4,3,Amarante, Amarante (São Gonçalo)
198000,1,147,4,3,Matosinhos, Custóias
300000,1,282,4,8,Matosinhos, São Mamede de Infesta e Senhora da Hora  
370000,1,238,3,3,Felgueiras, Margaride (Santa Eulália)
110000,1,74,1,2,Lousada, Nespereira e Casais  
119000,1,235,4,6,Marco de Canaveses, Bem Viver  
298000,1,135,3,4,Gondomar, Rio Tinto  
529900,1,246,4,4,Vila Nova de Gaia, Arcozelo  
340000,1,248,4,3,Matosinhos, Perafita
69000,1,65,1,2,Santo Tirso, Rebordões  
300000,1,140,2,3,Paredes, Parada de Todeia  
314900,1,151,3,3,Vila Nova de Gaia, Avintes  
240000,1,140,3,3,Marco de Canaveses, Sande e São Lourenço  
170000,1,132,3,3,Matosinhos, Matosinhos e Leça da Palmeira  
374000,1,73,2,2,Porto, Cedofeita
180000,1,90,2,3,Gondomar, Rio Tinto  
285000,1,230,4,3,Vila Nova de Gaia, Grijó e Sermonde  
265000,1,392,0,3,Felgueiras, Idães  
185000,1,55,1,2,Porto, Cedofeita
147000,1,36,1,1,Porto, Cedofeita
150000,1,35,1,1,Porto, Cedofeita
157000,1,36,1,1,Porto, Cedofeita
155000,1,32,1,1,Porto, Cedofeita
160000,1,35,1,1,Porto, Cedofeita
495000,1,390,3,6,Matosinhos, Custóias
82500,1,136,1,2,Felgueiras, Pombeiro de Ribavizela  
185000,1,115,1,2,Gondomar, Rio Tinto  
150000,1,124,1,3,Paços de Ferreira, Raimonda  
485000,1,154,3,3,Matosinhos, Perafita
160000,1,168,2,3,Felgueiras, Aião  
449000,1,185,4,3,Porto, Paranhos  
230000,1,180,3,3,Gondomar, Gondomar (São Cosme)
495000,1,280,5,5,Gondomar, Rio Tinto  
110000,1,419,2,0,Felgueiras, Torrados e Sousa  
1095000,1,428,7,4,Vila Nova de Gaia, Gulpilhares e Valadares  
215000,1,112,2,3,Lousada, Nespereira e Casais  
269000,1,1946,5,3,Vila Nova de Gaia, Pedroso e Seixezelo  
100000,1,131,1,2,Penafiel, Croca  
262500,1,140,2,5,Matosinhos, Custóias
549000,1,312,4,5,Matosinhos, Perafita
270000,1,183,3,3,Gondomar, Foz do Sousa e Covelo  
949000,1,350,4,3,Vila Nova de Gaia, Canidelo  
335000,1,185,4,4,Póvoa de Varzim, Estela  
475000,1,450,6,5,Maia, Castêlo da Maia  
237500,1,1924,6,3,Paredes, Rebordosa  
190000,1,163,3,3,Felgueiras, Margaride (Santa Eulália)
230000,1,325,3,3,Felgueiras, Revinhade  
155000,1,118,1,2,Felgueiras, Refontoura  
140000,1,68,1,2,Gondomar, Rio Tinto  
140000,1,72,1,2,Gondomar, Rio Tinto  
250000,1,2990,2,2,Santo Tirso, Lamelas e Guimarei  
314500,1,240,6,3,Gondomar, Fânzeres e São Pedro da Cova  
170000,1,110,2,3,Marco de Canaveses, Livração  
105000,1,204,2,4,Marco de Canaveses, Vila Boa de Quires e Maureles  
87500,1,86,1,2,Marco de Canaveses, Vila Boa de Quires e Maureles  
95000,1,70,1,3,Marco de Canaveses, Vila Boa de Quires e Maureles  
205000,1,500,4,9,Marco de Canaveses, Vila Boa de Quires e Maureles  
120000,1,121,1,4,Lousada, Caíde de Rei  
445000,1,350,4,4,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
350000,1,327,6,14,Porto, Campanhã  
165000,1,150,0,7,Penafiel, Duas Igrejas  
169500,1,76,2,2,Valongo, Ermesinde  
295000,1,176,2,3,Vila do Conde, Vila Chã  
280000,1,222,0,3,Vila do Conde, Retorta e Tougues  
290000,1,140,4,3,Paredes, Paredes  
130000,1,40,0,2,Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  
305000,1,212,3,4,Gondomar, Gondomar (São Cosme)
350000,1,120,3,3,Penafiel, Penafiel  
750000,1,199,3,3,Maia, Folgosa  
170000,1,108,0,1,Paredes, Duas Igrejas  
75000,1,53,1,3,Gondomar, Rio Tinto  
350000,1,229,3,4,Paredes, Aguiar de Sousa  
1000000,1,144,3,4,Porto, Aldoar
205000,1,137,2,3,Lousada, Figueiras e Covas  
435000,1,243,4,3,Valongo, Valongo  
500000,1,230,4,4,Gondomar, Gondomar (São Cosme)
580000,1,443,7,6,Porto, Campanhã  
180000,1,233,1,3,Felgueiras, Vila Fria e Vizela (São Jorge)  
330000,1,180,2,5,Maia, Cidade da Maia  
510000,1,168,3,3,Matosinhos, Matosinhos e Leça da Palmeira  
1289000,1,260,4,4,Vila Nova de Gaia, Gulpilhares e Valadares  
280000,1,350,4,4,Felgueiras, Macieira da Lixa e Caramos  
89900,1,80,1,2,Vila Nova de Gaia, Oliveira do Douro  
107500,1,100,0,3,Baião, Santa Marinha do Zêzere  
182500,1,100,0,3,Baião, Santa Marinha do Zêzere  
92500,1,18,0,1,Marco de Canaveses, Soalhães  
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
300000,1,642,3,4,Felgueiras, Vila Fria e Vizela (São Jorge)  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
1490000,1,358,4,3,Porto, Aldoar
250000,1,120,2,5,Gondomar, Rio Tinto  
49000,1,455,0,3,Penafiel, Boelhe  
532000,1,96,0,3,Gondomar, Rio Tinto  
295500,1,108,0,2,Gondomar, Fânzeres e São Pedro da Cova  
262000,1,113,0,3,Gondomar, Rio Tinto  
139500,1,57,1,3,Amarante, Vila Meã  
220000,1,89,1,3,Vila Nova de Gaia, Madalena  
215000,1,156,0,3,Santo Tirso, Monte Córdova  
125000,1,101,0,3,Santo Tirso, São Tomé Negrelos  
135000,1,41,0,1,Porto, Bonfim  
12500,1,45,0,1,Baião, Gestaçô  
380000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
325000,1,158,2,2,Matosinhos, Custóias
800000,1,351,5,3,Amarante, Gondar  
125000,1,86,1,3,Lousada, Macieira  
590000,1,245,3,4,Gondomar, Gondomar (São Cosme)
300000,1,129,2,3,Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  
190000,1,651,4,7,Vila Nova de Gaia, Serzedo e Perosinho  
265000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
259000,1,104,2,3,Santo Tirso, Aves  
155000,1,180,0,4,Vila Nova de Gaia, Serzedo e Perosinho  
45000,1,130,1,2,Lousada, Meinedo  
182500,1,83,2,2,Paredes, Rebordosa  
397000,1,220,0,4,Matosinhos, Perafita
320000,1,125,4,3,Marco de Canaveses, Paredes de Viadores e Manhuncelos  
615000,1,114,3,4,Porto, Bonfim  
165000,1,129,1,3,Amarante, Vila Garcia
215000,1,182,2,3,Trofa, Bougado (São Martinho e Santiago)  
185000,1,106,3,2,Valongo, Valongo  
189900,1,141,0,3,Maia, Nogueira e Silva Escura  
95000,1,146,3,3,Vila Nova de Gaia, Sandim
325000,1,200,3,4,Marco de Canaveses, Sobretâmega  
290000,1,540,2,3,Marco de Canaveses, Marco  
395000,1,177,4,3,Trofa, Coronado (São Romão e São Mamede)  
275000,1,148,3,3,Santo Tirso, Santo Tirso
380000,1,160,0,3,Vila do Conde, Vila do Conde  
128000,1,135,1,2,Baião, Gestaçô  
285000,1,296,1,3,Porto, Campanhã  
130000,1,170,2,3,Lousada, Silvares
590000,1,554,4,6,Amarante, Gondar  
450000,1,400,5,4,Santo Tirso, Carreira e Refojos de Riba de Ave  
1150000,1,2000,0,8,Santo Tirso, Carreira e Refojos de Riba de Ave  
58000,1,548,0,2,Santo Tirso, Santo Tirso
50000,1,50,1,2,Lousada, Silvares
55000,1,50,2,3,Lousada, Silvares
210000,1,55,0,2,Matosinhos, Custóias
750000,1,200,5,4,Santo Tirso, Carreira e Refojos de Riba de Ave  
372000,1,210,4,3,Porto, Campanhã  
185000,1,157,1,5,Santo Tirso, Rebordões  
475000,1,155,3,3,Matosinhos, Perafita
175000,1,99,2,2,Valongo, Valongo  
360000,1,237,0,5,Porto, Paranhos  
325000,1,182,5,3,Matosinhos, Custóias
295000,1,184,3,3,Maia, Castêlo da Maia  
439900,1,280,5,5,Vila Nova de Gaia, São Felix da Marinha  
