,Price,Address,Prop_type,Size,Bath,Bed
0, 425 000 € ," Lisboa -   Odivelas, Póvoa de Santo Adrião e Olival Basto  ",Condo/Apartment,  135 m2 ,  2 ,  3 
1, 460 000 € ," Lisboa -   Odivelas, Póvoa de Santo Adrião e Olival Basto  ",Condo/Apartment,  160 m2 ,  2 ,  3 
2, 300 000 € ," Lisboa -   Lisboa, Campo de Ourique  ",Condo/Apartment,  48 m2 ,  1 ,  3 
3, 260 000 € ," Lisboa -   Sintra, Agualva e Mira-Sintra  ",Condo/Apartment,  160 m2 ,  2 ,  4 
4, 315 000 € ," Lisboa -   Mafra, Carvoeira  ",Condo/Apartment,  66 m2 ,  1 ,  2 
5, 295 000 € ," Lisboa -   Sintra, Agualva e Mira-Sintra  ",Condo/Apartment,  144 m2 ,  0 ,  3 
6, 358 000 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  106 m2 ,  2 ,  2 
7, 250 000 € ," Lisboa -   Arruda dos Vinhos, Arruda dos Vinhos  ",Condo/Apartment,  134 m2 ,  2 ,  3 
8, 285 000 € ," Lisboa -   Mafra, Mafra  ",Condo/Apartment,  89 m2 ,  3 ,  2 
9, 295 000 € ," Lisboa -   Loures, Santo Antão e São Julião do Tojal  ",Condo/Apartment,  165 m2 ,  2 ,  3 
10, 330 000 € ," Lisboa -   Loures, Loures  ",Condo/Apartment,  118 m2 ,  2 ,  2 
11, 275 000 € ," Lisboa -   Sintra, Queluz e Belas  ",Condo/Apartment,  157 m2 ,  2 ,  3 
12, 259 900 € ," Lisboa -   Amadora, Mina de Água  ",Condo/Apartment,  90 m2 ,  1 ,  2 
13, 305 000 € ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Condo/Apartment,  74 m2 ,  1 ,  2 
14, 264 000 € ," Lisboa -   Lisboa, Campo de Ourique  ",Condo/Apartment,  52 m2 ,  1 ,  1 
15, 260 000 € ," Lisboa -   Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  ",Condo/Apartment,  113 m2 ,  2 ,  3 
16, 498 000 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  67 m2 ,  1 ,  1 
