,Price,Address,Prop_type,Size,Bath,Bed
0, 670 000 € ," Lisboa -   Lisboa, Arroios  ",Condo/Apartment,  145 m2 ,  2 ,  4 
1, 695 000 € ," Lisboa -   Odivelas, Póvoa de Santo Adrião e Olival Basto  ",Condo/Apartment,  227 m2 ,  2 ,  4 
2, 695 000 € ," Lisboa -   Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias  ",Condo/Apartment,  168 m2 ,  2 ,  3 
3, 550 000 € ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Condo/Apartment,  135 m2 ,  2 ,  3 
4, 520 000 € ," Lisboa -   Cascais, Alcabideche  ",Condo/Apartment,  132 m2 ,  3 ,  3 
5, 660 000 € ," Lisboa -   Lisboa, Lumiar  ",Condo/Apartment,  182 m2 ,  2 ,  4 
6, 780 000 € ," Lisboa -   Lisboa, Areeiro  ",Condo/Apartment,  225 m2 ,  4 ,  5 
7, 1 400 000 € ," Lisboa -   Lisboa, Santo António  ",Condo/Apartment,  186 m2 ,  5 ,  4 
8, 737 000 € ," Lisboa -   Lisboa, Belém  ",Condo/Apartment,  115 m2 ,  2 ,  3 
9, 988 200 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  204 m2 ,  1 ,  1 
10, 770 560 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  88 m2 ,  2 ,  1 
11, 1 412 500 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  141 m2 ,  3 ,  3 
12, 1 522 300 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  166 m2 ,  4 ,  3 
13, 776 050 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  97 m2 ,  2 ,  1 
14, 1 339 560 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  153 m2 ,  3 ,  3 
15, 1 207 800 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  144 m2 ,  3 ,  2 
16, 765 070 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  98 m2 ,  2 ,  1 
17, 1 290 150 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  152 m2 ,  3 ,  3 
18, 1 152 900 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  144 m2 ,  3 ,  2 
19, 1 043 100 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  144 m2 ,  3 ,  2 
20, 737 620 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  105 m2 ,  2 ,  1 
21, 1 345 050 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  166 m2 ,  3 ,  3 
22, 770 000 € ," Lisboa -   Lisboa, Lumiar  ",Condo/Apartment,  203 m2 ,  3 ,  4 
23, 1 500 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  361 m2 ,  3 ,  4 
24, 645 000 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  77 m2 ,  2 ,  3 
25, 550 000 € ," Lisboa -   Mafra, Ericeira  ",Condo/Apartment,  175 m2 ,  3 ,  3 
26, 1 600 000 € ," Lisboa -   Lisboa, Olivais  ",Condo/Apartment,  198 m2 ,  3 ,  7 
27, 1 500 000 € ," Lisboa -   Lisboa, Avenidas Novas  ",Condo/Apartment,  187 m2 ,  3 ,  3 
28, 997 500 € ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  136 m2 ,  1 ,  2 
29, 525 000 € ," Lisboa -   Lisboa, Campo de Ourique  ",Condo/Apartment,  107 m2 ,  2 ,  3 
30, 535 000 € ," Lisboa -   Lisboa, Campolide  ",Condo/Apartment,  130 m2 ,  2 ,  2 
31, 900 000 € ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Condo/Apartment,  134 m2 ,  2 ,  3 
32, 550 000 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  158 m2 ,  2 ,  3 
33, 500 000 € ," Lisboa -   Lisboa, Campolide  ",Condo/Apartment,  130 m2 ,  2 ,  3 
34, 2 980 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  260 m2 ,  4 ,  4 
35, 1 100 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  163 m2 ,  3 ,  2 
36, 510 000 € ," Lisboa -   Lisboa, Arroios  ",Condo/Apartment,  70 m2 ,  1 ,  2 
37, 525 000 € ," Lisboa -   Lisboa, Alvalade  ",Condo/Apartment,  127 m2 ,  3 ,  3 
38, 750 000 € ," Lisboa -   Lisboa, Lumiar  ",Condo/Apartment,  128 m2 ,  3 ,  3 
39, 850 000 € ," Lisboa -   Lisboa, Avenidas Novas  ",Condo/Apartment,  178 m2 ,  3 ,  5 
40, 1 200 000 € ," Lisboa -   Lisboa, Arroios  ",Condo/Apartment,  265 m2 ,  6 ,  4 
41, 3 060 000 € ," Lisboa -   Lisboa, Belém  ",Condo/Apartment,  646 m2 ,  7 ,  6 
42, 710 000 € ," Lisboa -   Lisboa, Avenidas Novas  ",Condo/Apartment,  125 m2 ,  2 ,  5 
43, 1 190 000 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  137 m2 ,  4 ,  3 
44, 800 000 € ," Lisboa -   Sintra, Queluz e Belas  ",Condo/Apartment,  227 m2 ,  3 ,  3 
45, 750 000 € ," Lisboa -   Mafra, Ericeira  ",Condo/Apartment,  207 m2 ,  2 ,  4 
46, 675 000 € ," Lisboa -   Lisboa, Estrela  ",Condo/Apartment,  151 m2 ,  0 ,  4 
47, 800 000 € ," Lisboa -   Lisboa, Lumiar  ",Condo/Apartment,  201 m2 ,  2 ,  3 
48, 640 000 € ," Lisboa -   Sintra, Queluz e Belas  ",Condo/Apartment,  153 m2 ,  2 ,  2 
49, 500 000 € ," Lisboa -   Loures, Loures  ",Condo/Apartment,  4422 m2 ,  3 ,  4 
50, 990 000 € ," Lisboa -   Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)  ",Condo/Apartment,  187 m2 ,  4 ,  4 
51, 525 000 € ," Lisboa -   Lisboa, Alcântara  ",Condo/Apartment,  150 m2 ,  2 ,  3 
52, 760 000 € ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Condo/Apartment,  160 m2 ,  3 ,  4 
53, 795 000 € ," Lisboa -   Lisboa, Campo de Ourique  ",Condo/Apartment,  137 m2 ,  2 ,  7 
54, 685 000 € ," Lisboa -   Lisboa, São Domingos de Benfica  ",Condo/Apartment,  186 m2 ,  3 ,  3 
55, 585 000 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  171 m2 ,  3 ,  3 
56, 595 000 € ," Lisboa -   Lisboa, São Vicente  ",Condo/Apartment,  159 m2 ,  2 ,  3 
57, 970 000 € ," Lisboa -   Lisboa, Alcântara  ",Condo/Apartment,  142 m2 ,  3 ,  2 
58, 695 000 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  73 m2 ,  2 ,  2 
59, 550 000 € ," Lisboa -   Lisboa, Benfica  ",Condo/Apartment,  132 m2 ,  3 ,  4 
60, 1 230 000 € ," Lisboa -   Lisboa, Marvila  ",Condo/Apartment,  189 m2 ,  2 ,  4 
61, 865 000 € ," Lisboa -   Lisboa, Marvila  ",Condo/Apartment,  129 m2 ,  2 ,  3 
62, 970 000 € ," Lisboa -   Lisboa, Alvalade  ",Condo/Apartment,  128 m2 ,  3 ,  3 
63, 625 000 € ," Lisboa -   Odivelas, Ramada e Caneças  ",Condo/Apartment,  170 m2 ,  2 ,  3 
64, 549 000 € ," Lisboa -   Lisboa, São Domingos de Benfica  ",Condo/Apartment,  129 m2 ,  2 ,  3 
65, 1 100 000 € ," Lisboa -   Lisboa, Avenidas Novas  ",Condo/Apartment,  149 m2 ,  2 ,  2 
66, 550 000 € ," Lisboa -   Lisboa, Campolide  ",Condo/Apartment,  71 m2 ,  2 ,  1 
67, 780 000 € ," Lisboa -   Lisboa, São Domingos de Benfica  ",Condo/Apartment,  185 m2 ,  3 ,  4 
68, 650 000 € ," Lisboa -   Cascais, Carcavelos e Parede  ",Condo/Apartment,  260 m2 ,  2 ,  3 
69, 520 000 € ," Lisboa -   Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias  ",Condo/Apartment,  144 m2 ,  2 ,  4 
70, 705 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  234 m2 ,  4 ,  4 
71, 1 190 000 € ," Lisboa -   Lisboa, Parque das Nações  ",Condo/Apartment,  148 m2 ,  3 ,  3 
72, 1 190 000 € ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  162 m2 ,  2 ,  2 
73, 700 000 € ," Lisboa -   Lisboa, Campolide  ",Condo/Apartment,  216 m2 ,  2 ,  5 
74, 950 000 € ," Lisboa -   Lisboa, São Domingos de Benfica  ",Condo/Apartment,  167 m2 ,  3 ,  4 
75, 725 000 € ," Lisboa -   Lisboa, Parque das Nações  ",Condo/Apartment,  110 m2 ,  2 ,  2 
76, 820 000 € ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Condo/Apartment,  175 m2 ,  3 ,  3 
77, 550 000 € ," Lisboa -   Lisboa, Estrela  ",Condo/Apartment,  75 m2 ,  1 ,  1 
78, 540 000 € ," Lisboa -   Lisboa, São Domingos de Benfica  ",Condo/Apartment,  108 m2 ,  2 ,  2 
79, 835 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  124 m2 ,  2 ,  3 
