,Price,Address,Prop_type,Size,Bath,Bed
0, 700 €  /  Monthly  ," Lisboa -   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  ",Condo/Apartment,  70 m2 ,  1 ,  2 
1, 350 €  /  Monthly  ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Store,  20 m2 ,  0 ,  -- 
2, 1 750 €  /  Monthly  ," Lisboa -   Loures, Sacavém e Prior Velho  ",Condo/Apartment,  123 m2 ,  2 ,  3 
3, 950 €  /  Monthly  ," Lisboa -   Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa  ",Condo/Apartment,  115 m2 ,  2 ,  3 
4, 750 €  /  Monthly  ," Lisboa -   Odivelas, Póvoa de Santo Adrião e Olival Basto  ",Condo/Apartment,  89 m2 ,  2 ,  3 
5, 1 450 €  /  Monthly  ," Lisboa -   Lisboa, Areeiro  ",Condo/Apartment,  86 m2 ,  1 ,  2 
6, 1 200 €  /  Monthly  ," Lisboa -   Lisboa, Estrela  ",Condo/Apartment,  65 m2 ,  1 ,  2 
7, 600 €  /  Monthly  ," Lisboa -   Cascais, São Domingos de Rana  ",Store,  69 m2 ,  1 ,  -- 
8, 1 800 €  /  Monthly  ," Lisboa -   Lisboa, Santa Clara  ",Condo/Apartment,  102 m2 ,  2 ,  3 
9, 4 000 €  /  Monthly  ," Lisboa -   Cascais, Cascais e Estoril  ",Condo/Apartment,  210 m2 ,  3 ,  4 
10, 3 000 €  /  Monthly  ," Lisboa -   Cascais, Cascais e Estoril  ",House,  150 m2 ,  3 ,  3 
11, 1 000 €  /  Monthly  ," Lisboa -   Sintra, Queluz e Belas  ",Condo/Apartment,  98 m2 ,  2 ,  2 
12, 900 €  /  Monthly  ," Lisboa -   Oeiras, Carnaxide e Queijas  ",Store,  58 m2 ,  2 ,  -- 
13, 1 800 €  /  Monthly  ," Lisboa -   Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)  ",Condo/Apartment,  126 m2 ,  2 ,  2 
14, 1 000 €  /  Monthly  ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  91 m2 ,  0 ,  3 
15, 950 €  /  Monthly  ," Lisboa -   Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo  ",Store,  142 m2 ,  0 ,  -- 
16, 3 700 €  /  Monthly  ," Lisboa -   Lisboa, Estrela  ",Condo/Apartment,  170 m2 ,  3 ,  4 
17, 1 650 €  /  Monthly  ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  84 m2 ,  2 ,  1 
