,Price,Address,Prop_type,Size,Bath,Bed
0, 255 000 € ," Porto -   Vila Nova de Gaia, São Felix da Marinha  ",Condo/Apartment,  105 m2 ,  2 ,  2 
1, 198 500 € ," Porto -   Paços de Ferreira, Paços de Ferreira  ",Condo/Apartment,  132 m2 ,  2 ,  3 
2, 138 000 € ," Porto -   Vila Nova de Gaia, Grijó e Sermonde  ",Condo/Apartment,  97 m2 ,  2 ,  2 
3, 225 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  89 m2 ,  1 ,  1 
4, 225 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  53 m2 ,  1 ,  1 
5, 225 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  51 m2 ,  1 ,  1 
6, 227 500 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  53 m2 ,  1 ,  1 
7, 227 500 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  51 m2 ,  1 ,  1 
8, 230 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  53 m2 ,  1 ,  1 
9, 230 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  51 m2 ,  1 ,  1 
10, 225 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  51 m2 ,  1 ,  1 
11, 232 500 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  53 m2 ,  1 ,  1 
12, 227 500 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  51 m2 ,  1 ,  1 
13, 235 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  53 m2 ,  1 ,  1 
14, 230 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  51 m2 ,  1 ,  1 
15, 305 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  69 m2 ,  2 ,  2 
16, 305 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  69 m2 ,  2 ,  2 
17, 310 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  69 m2 ,  2 ,  2 
18, 310 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  68 m2 ,  2 ,  2 
19, 315 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  69 m2 ,  2 ,  2 
20, 315 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  68 m2 ,  2 ,  2 
21, 320 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  69 m2 ,  2 ,  2 
22, 335 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  69 m2 ,  2 ,  2 
23, 300 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  69 m2 ,  2 ,  2 
24, 300 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  69 m2 ,  2 ,  2 
25, 234 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  61 m2 ,  1 ,  1 
26, 130 000 € ," Porto -   Paredes, Paredes  ",Condo/Apartment,  86 m2 ,  0 ,  2 
27, 140 000 € ," Porto -   Paredes, Paredes  ",Condo/Apartment,  86 m2 ,  1 ,  2 
28, 140 000 € ," Porto -   Paredes, Paredes  ",Condo/Apartment,  86 m2 ,  1 ,  2 
29, 166 000 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",Condo/Apartment,  80 m2 ,  1 ,  2 
30, 199 900 € ," Porto -   Vila Nova de Gaia, Canidelo  ",Condo/Apartment,  104 m2 ,  2 ,  2 
31, 189 900 € ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  120 m2 ,  2 ,  3 
32, 215 000 € ," Porto -   Porto, Campanhã  ",Condo/Apartment,  53 m2 ,  1 ,  2 
33, 225 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  96 m2 ,  1 ,  1 
34, 130 000 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  89 m2 ,  2 ,  3 
35, 266 000 € ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  141 m2 ,  2 ,  3 
36, 150 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Condo/Apartment,  112 m2 ,  1 ,  2 
37, 185 000 € ," Porto -   Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  ",Condo/Apartment,  92 m2 ,  2 ,  2 
38, 179 900 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  105 m2 ,  3 ,  3 
39, 159 900 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  80 m2 ,  3 ,  2 
40, 160 000 € ," Porto -   Marco de Canaveses, Marco  ",Condo/Apartment,  118 m2 ,  2 ,  3 
41, 239 900 € ," Porto -   Santo Tirso, Aves  ",Condo/Apartment,  167 m2 ,  3 ,  3 
42, 218 500 € ," Porto -   Valongo, Valongo  ",Condo/Apartment,  113 m2 ,  2 ,  3 
43, 210 000 € ," Porto -   Porto, Paranhos  ",Condo/Apartment,  64 m2 ,  1 ,  2 
44, 160 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Condo/Apartment,  110 m2 ,  2 ,  3 
45, 235 000 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  96 m2 ,  2 ,  3 
46, 145 000 € ," Porto -   Vila Nova de Gaia, Pedroso e Seixezelo  ",Condo/Apartment,  102 m2 ,  2 ,  2 
47, 175 000 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  118 m2 ,  2 ,  3 
48, 180 000 € ," Porto -   Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  ",Condo/Apartment,  80 m2 ,  2 ,  2 
49, 189 900 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  61 m2 ,  1 ,  0 
50, 245 000 € ," Porto -   Maia, Cidade da Maia  ",Condo/Apartment,  120 m2 ,  3 ,  2 
51, 175 000 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  61 m2 ,  1 ,  1 
52, 138 000 € ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",Condo/Apartment,  84 m2 ,  0 ,  2 
53, 199 000 € ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  79 m2 ,  2 ,  2 
54, 210 000 € ," Porto -   Maia, Pedrouços  ",Condo/Apartment,  101 m2 ,  2 ,  2 
55, 149 000 € ," Porto -   Paços de Ferreira, Penamaior  ",Condo/Apartment,  86 m2 ,  2 ,  2 
56, 154 440 € ," Porto -   Porto, Bonfim  ",Condo/Apartment,  35 m2 ,  0 ,  0 
57, 209 420 € ," Porto -   Porto, Bonfim  ",Condo/Apartment,  56 m2 ,  0 ,  2 
58, 126 480 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  31 m2 ,  0 ,  0 
59, 139 104 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  36 m2 ,  0 ,  0 
60, 292 500 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  95 m2 ,  0 ,  2 
61, 245 582 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  79 m2 ,  0 ,  1 
62, 295 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  99 m2 ,  0 ,  2 
63, 294 000 € ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  80 m2 ,  2 ,  2 
64, 170 000 € ," Porto -   Maia, Nogueira e Silva Escura  ",Condo/Apartment,  74 m2 ,  1 ,  1 
65, 172 900 € ," Porto -   Vila Nova de Gaia, Vilar de Andorinho  ",Condo/Apartment,  120 m2 ,  2 ,  3 
66, 289 000 € ," Porto -   Vila Nova de Gaia, Canidelo  ",Condo/Apartment,  155 m2 ,  6 ,  3 
67, 165 000 € ," Porto -   Maia, Cidade da Maia  ",Condo/Apartment,  77 m2 ,  1 ,  2 
68, 195 000 € ," Porto -   Maia, Castêlo da Maia  ",Condo/Apartment,  115 m2 ,  3 ,  2 
69, 799 000 € ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  144 m2 ,  4 ,  3 
70, 200 000 € ," Porto -   Valongo, Valongo  ",Condo/Apartment,  138 m2 ,  2 ,  3 
71, 319 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  93 m2 ,  2 ,  2 
72, 169 000 € ," Porto -   Maia, Nogueira e Silva Escura  ",Condo/Apartment,  101 m2 ,  2 ,  2 
73, 115 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",Condo/Apartment,  79 m2 ,  2 ,  2 
74, 198 000 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",Condo/Apartment,  87 m2 ,  1 ,  3 
75, 432 520 € ," Porto -   Porto, Bonfim  ",Condo/Apartment,  98 m2 ,  0 ,  2 
76, 169 900 € ," Porto -   Vila Nova de Gaia, Oliveira do Douro  ",Condo/Apartment,  112 m2 ,  2 ,  3 
77, 180 000 € ," Porto -   Valongo, Valongo  ",Condo/Apartment,  84 m2 ,  1 ,  2 
78, 909 000 € ," Porto -   Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  ",Condo/Apartment,  279 m2 ,  4 ,  4 
79, 135 000 € ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  88 m2 ,  1 ,  2 
80, 155 000 € ," Porto -   Valongo, Ermesinde  ",Condo/Apartment,  68 m2 ,  1 ,  3 
81, 189 500 € ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  100 m2 ,  2 ,  3 
82, 180 000 € ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  71 m2 ,  1 ,  2 
83, 175 000 € ," Porto -   Valongo, Ermesinde  ",Condo/Apartment,  65 m2 ,  0 ,  2 
84, 210 000 € ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  115 m2 ,  4 ,  3 
