Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,good_prop
140,2,3,0,0,0,1,0,1
152,3,4,0,0,1,0,0,0
75,1,2,0,0,1,0,0,1
120,4,3,0,0,1,0,0,1
149,8,3,0,0,1,0,0,0
160,1,3,0,0,1,0,0,1
250,3,3,0,0,1,0,0,1
45,2,2,0,0,1,0,0,0
253,3,3,0,0,1,0,0,0
128,2,4,0,0,0,1,0,0
85,1,3,0,0,1,0,0,1
85,1,3,0,0,1,0,0,0
202,3,4,0,0,0,1,0,0
166,2,4,0,0,1,0,0,1
96,2,2,0,0,1,0,0,1
183,5,4,0,0,1,0,0,1
44,1,2,0,0,1,0,0,1
77,1,2,0,0,1,0,0,0
160,4,3,0,0,1,0,0,1
35,3,4,0,0,0,1,0,0
160,1,3,0,0,1,0,0,1
208,4,6,0,0,1,0,0,1
172,2,3,0,0,1,0,0,1
168,2,3,0,0,1,0,0,1
94,1,2,0,0,1,0,0,1
246,3,4,0,0,1,0,0,1
112,1,2,0,0,1,0,0,1
140,2,3,0,0,1,0,0,0
112,2,3,0,0,0,1,0,0
100,2,3,0,0,1,0,0,1
177,3,3,0,0,1,0,0,0
245,4,3,0,0,0,1,0,0
279,4,4,0,0,1,0,0,1
220,4,4,0,0,1,0,0,0
26,1,1,0,0,0,1,0,0
40,1,1,0,0,0,1,0,0
168,2,4,0,0,1,0,0,0
142,3,3,0,0,1,0,0,1
112,2,3,0,0,1,0,0,1
92,1,3,0,0,1,0,0,1
163,3,3,0,0,1,0,0,0
50,1,2,0,0,1,0,0,1
88,2,4,0,0,1,0,0,1
122,3,3,0,0,1,0,0,1
161,1,2,0,0,1,0,0,1
212,5,4,0,0,1,0,0,0
265,6,5,0,0,1,0,0,1
190,4,4,0,0,1,0,0,0
209,3,4,0,0,1,0,0,1
82,1,2,0,0,1,0,0,1
84,2,4,0,0,1,0,0,1
43,1,2,0,0,1,0,0,0
112,1,2,0,0,1,0,0,1
210,4,4,0,0,1,0,0,0
278,4,4,0,0,1,0,0,0
56,1,3,0,0,1,0,0,1
154,4,4,0,0,1,0,0,0
260,3,3,0,0,1,0,0,0
40,1,2,0,0,1,0,0,1
240,2,3,0,0,1,0,0,1
174,3,4,0,0,1,0,0,1
134,2,3,0,0,1,0,0,1
90,2,3,0,0,1,0,0,1
200,1,4,0,0,1,0,0,1
99,1,2,0,0,1,0,0,1
196,1,2,0,0,1,0,0,1
144,2,5,0,0,0,1,0,1
74,2,3,0,0,1,0,0,0
52,1,2,0,0,1,0,0,0
168,3,4,0,0,1,0,0,0
110,1,2,0,0,1,0,0,1
74,2,2,0,0,1,0,0,1
251,4,4,0,0,1,0,0,0
254,3,4,0,0,0,1,0,0
188,4,3,0,0,1,0,0,0
152,3,5,0,0,1,0,0,1
219,3,3,0,0,1,0,0,1
280,2,5,0,0,1,0,0,1
277,3,4,0,0,1,0,0,1
132,1,2,0,0,1,0,0,1
104,1,3,0,0,1,0,0,0
199,3,2,0,0,1,0,0,1
172,3,3,0,0,1,0,0,0
214,3,3,0,0,1,0,0,1
158,3,3,0,0,1,0,0,0
80,2,4,0,0,0,1,0,0
30,1,1,0,0,1,0,0,0
263,1,2,0,0,1,0,0,1
60,2,2,0,0,1,0,0,1
132,2,3,0,0,1,0,0,0
141,4,3,0,0,1,0,0,0
255,4,4,0,0,1,0,0,1
126,1,2,0,0,1,0,0,1
170,2,2,0,0,1,0,0,1
56,1,2,0,0,1,0,0,1
154,3,3,0,0,1,0,0,1
132,4,3,0,0,1,0,0,1
147,4,3,0,0,1,0,0,1
282,4,8,0,0,1,0,0,1
238,3,3,0,0,1,0,0,1
74,1,2,0,0,1,0,0,1
235,4,6,0,0,1,0,0,1
135,3,4,0,0,1,0,0,1
246,4,4,0,0,1,0,0,0
248,4,3,0,0,1,0,0,1
65,1,2,0,0,1,0,0,1
140,2,3,0,0,1,0,0,0
151,3,3,0,0,1,0,0,0
140,3,3,0,0,1,0,0,1
132,3,3,0,0,1,0,0,1
73,2,2,0,0,0,1,0,0
90,2,3,0,0,1,0,0,1
230,4,3,0,0,1,0,0,1
55,1,2,0,0,0,1,0,0
36,1,1,0,0,0,1,0,0
35,1,1,0,0,0,1,0,0
36,1,1,0,0,0,1,0,0
32,1,1,0,0,0,1,0,0
35,1,1,0,0,0,1,0,0
136,1,2,0,0,1,0,0,1
115,1,2,0,0,1,0,0,1
124,1,3,0,0,1,0,0,1
154,3,3,0,0,1,0,0,0
168,2,3,0,0,1,0,0,1
185,4,3,0,0,0,1,0,0
180,3,3,0,0,1,0,0,1
280,5,5,0,0,1,0,0,1
112,2,3,0,0,1,0,0,1
131,1,2,0,0,1,0,0,1
140,2,5,0,0,1,0,0,1
183,3,3,0,0,1,0,0,1
185,4,4,0,0,1,0,0,1
163,3,3,0,0,1,0,0,1
118,1,2,0,0,1,0,0,1
68,1,2,0,0,1,0,0,1
72,1,2,0,0,1,0,0,1
240,6,3,0,0,1,0,0,1
110,2,3,0,0,1,0,0,1
204,2,4,0,0,1,0,0,1
86,1,2,0,0,1,0,0,1
70,1,3,0,0,1,0,0,1
121,1,4,0,0,1,0,0,1
76,2,2,0,0,1,0,0,1
176,2,3,0,0,1,0,0,1
140,4,3,0,0,1,0,0,1
212,3,4,0,0,1,0,0,1
120,3,3,0,0,1,0,0,0
199,3,3,0,0,1,0,0,0
53,1,3,0,0,1,0,0,1
229,3,4,0,0,1,0,0,1
