Price,Address,Prop_type,Size,Bath,Bed
 4 500 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Business Office,  452 m2 ,6,  -- 
 50 €  /  Monthly  ," Porto -   Valongo, Valongo  ",Garage,  15 m2 ,0,  0 
 700 €  /  Monthly  ," Porto -   Marco de Canaveses, Várzea, Aliviada e Folhada  ",House,  80 m2 ,0,  2 
 1 600 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  145 m2 ,3,  3 
 1 100 €  /  Monthly  ," Porto -   Maia, Cidade da Maia  ",Condo/Apartment,  110 m2 ,2,  2 
 900 €  /  Monthly  ," Porto -   Porto, Campanhã  ",Condo/Apartment,  100 m2 ,2,  3 
 950 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  49 m2 ,1,  1 
 770 €  /  Monthly  ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",Condo/Apartment,  88 m2 ,1,  2 
 850 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  110 m2 ,1,  3 
 700 €  /  Monthly  ," Porto -   Paredes, Paredes  ",Condo/Apartment,  90 m2 ,2,  2 
 950 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  110 m2 ,1,  -- 
 900 €  /  Monthly  ," Porto -   Valongo, Valongo  ",Condo/Apartment,  129 m2 ,3,  3 
 950 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Oliveira do Douro  ",Condo/Apartment,  94 m2 ,2,  2 
 1 100 €  /  Monthly  ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",Condo/Apartment,  95 m2 ,0,  2 
 700 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  49 m2 ,1,  1 
 650 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Store,  75 m2 ,1,  0 
 800 €  /  Monthly  ," Porto -   Porto, Bonfim  ",Business Office,  98 m2 ,1,  -- 
 200 €  /  Monthly  ," Porto -   Lousada, Caíde de Rei  ",Business Office,  60 m2 ,1,  -- 
 950 €  /  Monthly  ," Porto -   Lousada, Macieira  ",Warehouse,  800 m2 ,0,  -- 
 1 600 €  /  Monthly  ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",Condo/Apartment,  95 m2 ,2,  2 
 700 €  /  Monthly  ," Porto -   Penafiel, São Martinho Recezinhos  ",Land,  -- m2 ,0,  -- 
 350 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Store,  68 m2 ,1,  -- 
 400 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  19 m2 ,0,  -- 
 1 300 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  90 m2 ,2,  2 
 1 200 €  /  Monthly  ," Porto -   Porto, Paranhos  ",Duplex,  174 m2 ,3,  4 
 1 200 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Condo/Apartment,  61 m2 ,1,  1 
 790 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  79 m2 ,1,  2 
 880 €  /  Monthly  ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",Condo/Apartment,  94 m2 ,1,  2 
 1 900 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",Condo/Apartment,  115 m2 ,3,  3 
 1 300 €  /  Monthly  ," Porto -   Felgueiras, Torrados e Sousa  ",Warehouse,  472 m2 ,2,  -- 
 1 000 €  /  Monthly  ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",Condo/Apartment,  111 m2 ,2,  3 
 800 €  /  Monthly  ," Porto -   Porto, Paranhos  ",Store,  113 m2 ,1,  -- 
 2 750 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  215 m2 ,4,  4 
 1 250 €  /  Monthly  ," Porto -   Maia, Castêlo da Maia  ",Condo/Apartment,  162 m2 ,2,  3 
 250 €  /  Monthly  ," Porto -   Paredes, Paredes  ",Store,  27 m2 ,0,  0 
 1 300 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  148 m2 ,3,  4 
 2 000 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  150 m2 ,0,  3 
