,Price,Address,Prop_type,Size,Bath,Bed
0, 89 000 € ," Braga -   Braga, Ferreiros e Gondizalves  ",Condo/Apartment,  107 m2 ,  2 ,  3 
1, 79 000 € ," Braga -   Braga, Ferreiros e Gondizalves  ",Condo/Apartment,  114 m2 ,  1 ,  2 
2, 107 500 € ," Braga -   Guimarães, Caldelas  ",Condo/Apartment,  95 m2 ,  2 ,  3 
3, 159 000 € ," Braga -   Braga, Braga (Maximinos, Sé e Cividade)  ",Condo/Apartment,  96 m2 ,  0 ,  2 
4, 220 000 € ," Braga -   Guimarães, Creixomil  ",Condo/Apartment,  138 m2 ,  2 ,  3 
5, 145 000 € ," Braga -   Vila Nova de Famalicão, Avidos e Lagoa  ",Condo/Apartment,  120 m2 ,  0 ,  3 
6, 190 000 € ," Braga -   Braga, São Vicente  ",Condo/Apartment,  85 m2 ,  1 ,  2 
7, 159 999 € ," Braga -   Vila Nova de Famalicão, Antas e Abade de Vermoim  ",Condo/Apartment,  90 m2 ,  2 ,  2 
8, 209 000 € ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Condo/Apartment,  95 m2 ,  2 ,  2 
9, 185 000 € ," Braga -   Braga, Braga (Maximinos, Sé e Cividade)  ",Condo/Apartment,  115 m2 ,  0 ,  3 
10, 189 000 € ," Braga -   Vila Nova de Famalicão, Lousado  ",Condo/Apartment,  142 m2 ,  3 ,  3 
11, 191 000 € ," Braga -   Guimarães, Aldão  ",Condo/Apartment,  101 m2 ,  2 ,  2 
12, 128 500 € ," Braga -   Guimarães, Aldão  ",Condo/Apartment,  66 m2 ,  1 ,  1 
13, 226 000 € ," Braga -   Guimarães, Aldão  ",Condo/Apartment,  129 m2 ,  3 ,  3 
14, 135 000 € ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Condo/Apartment,  110 m2 ,  2 ,  3 
15, 137 500 € ," Braga -   Guimarães, Azurém  ",Condo/Apartment,  83 m2 ,  1 ,  3 
16, 145 000 € ," Braga -   Braga, São Victor  ",Condo/Apartment,  110 m2 ,  2 ,  3 
17, 249 990 € ," Braga -   Guimarães, Creixomil  ",Condo/Apartment,  232 m2 ,  0 ,  3 
18, 163 000 € ," Braga -   Vila Nova de Famalicão, Pousada de Saramagos  ",Condo/Apartment,  129 m2 ,  2 ,  3 
19, 289 000 € ," Braga -   Guimarães, Costa  ",Condo/Apartment,  289 m2 ,  3 ,  3 
20, 139 000 € ," Braga -   Braga, Real, Dume e Semelhe  ",Condo/Apartment,  85 m2 ,  1 ,  1 
21, 225 800 € ," Braga -   Braga, Nogueira, Fraião e Lamaçães  ",Condo/Apartment,  175 m2 ,  2 ,  3 
22, 99 000 € ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Condo/Apartment,  130 m2 ,  2 ,  2 
23, 258 800 € ," Braga -   Guimarães, Urgezes  ",Condo/Apartment,  121 m2 ,  0 ,  2 
24, 219 900 € ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Condo/Apartment,  143 m2 ,  2 ,  3 
25, 188 000 € ," Braga -   Braga, Real, Dume e Semelhe  ",Condo/Apartment,  112 m2 ,  1 ,  2 
26, 140 000 € ," Braga -   Guimarães, Pencelo  ",Condo/Apartment,  97 m2 ,  2 ,  3 
27, 152 500 € ," Braga -   Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  ",Condo/Apartment,  132 m2 ,  2 ,  4 
28, 133 000 € ," Braga -   Vila Nova de Famalicão, Riba de Ave  ",Condo/Apartment,  98 m2 ,  2 ,  2 
29, 128 000 € ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Condo/Apartment,  105 m2 ,  2 ,  3 
30, 126 500 € ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Condo/Apartment,  107 m2 ,  1 ,  3 
31, 149 900 € ," Braga -   Braga, Lomar e Arcos  ",Condo/Apartment,  100 m2 ,  0 ,  2 
32, 125 000 € ," Braga -   Braga, São Victor  ",Condo/Apartment,  74 m2 ,  1 ,  1 
33, 109 000 € ," Braga -   Braga, Ferreiros e Gondizalves  ",Condo/Apartment,  64 m2 ,  1 ,  1 
34, 175 000 € ," Braga -   Esposende, Esposende, Marinhas e Gandra  ",Condo/Apartment,  115 m2 ,  1 ,  2 
35, 122 900 € ," Braga -   Vila Nova de Famalicão, Carreira e Bente  ",Condo/Apartment,  97 m2 ,  2 ,  3 
36, 159 900 € ," Braga -   Braga, São Victor  ",Condo/Apartment,  89 m2 ,  1 ,  2 
37, 115 000 € ," Braga -   Braga, Lomar e Arcos  ",Condo/Apartment,  128 m2 ,  2 ,  3 
38, 129 990 € ," Braga -   Braga, Lomar e Arcos  ",Condo/Apartment,  77 m2 ,  1 ,  2 
39, 200 000 € ," Braga -   Guimarães, São Torcato  ",Condo/Apartment,  145 m2 ,  3 ,  3 
40, 110 000 € ," Braga -   Vizela, Caldas de Vizela (São Miguel e São João)  ",Condo/Apartment,  59 m2 ,  1 ,  2 
41, 138 000 € ," Braga -   Braga, Real, Dume e Semelhe  ",Condo/Apartment,  102 m2 ,  2 ,  3 
42, 120 000 € ," Braga -   Amares, Ferreiros, Prozelo e Besteiros  ",Condo/Apartment,  57 m2 ,  1 ,  1 
43, 179 000 € ," Braga -   Barcelos, Cossourado  ",Condo/Apartment,  217 m2 ,  0 ,  4 
44, 179 000 € ," Braga -   Barcelos, Cossourado  ",Condo/Apartment,  217 m2 ,  0 ,  4 
45, 209 000 € ," Braga -   Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  ",Condo/Apartment,  130 m2 ,  2 ,  3 
46, 158 000 € ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Condo/Apartment,  95 m2 ,  0 ,  2 
47, 107 000 € ," Braga -   Fafe, Fafe  ",Condo/Apartment,  123 m2 ,  1 ,  2 
48, 215 000 € ," Braga -   Braga, São Vicente  ",Condo/Apartment,  102 m2 ,  1 ,  3 
49, 210 000 € ," Braga -   Braga, São Victor  ",Condo/Apartment,  135 m2 ,  2 ,  3 
50, 149 000 € ," Braga -   Amares, Ferreiros, Prozelo e Besteiros  ",Condo/Apartment,  124 m2 ,  1 ,  1 
51, 260 000 € ," Braga -   Fafe, Fafe  ",Condo/Apartment,  188 m2 ,  2 ,  3 
52, 170 000 € ," Braga -   Braga, Gualtar  ",Condo/Apartment,  53 m2 ,  2 ,  1 
53, 149 900 € ," Braga -   Barcelos, Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)  ",Condo/Apartment,  106 m2 ,  2 ,  2 
54, 192 000 € ," Braga -   Braga, Real, Dume e Semelhe  ",Condo/Apartment,  86 m2 ,  2 ,  2 
55, 269 000 € ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Condo/Apartment,  131 m2 ,  3 ,  3 
56, 259 000 € ," Braga -   Braga, São Vicente  ",Condo/Apartment,  129 m2 ,  2 ,  4 
57, 119 900 € ," Braga -   Braga, Lomar e Arcos  ",Condo/Apartment,  87 m2 ,  1 ,  2 
58, 172 000 € ," Braga -   Vila Nova de Famalicão, Delães  ",Condo/Apartment,  122 m2 ,  2 ,  3 
59, 115 000 € ," Braga -   Guimarães, Costa  ",Condo/Apartment,  56 m2 ,  1 ,  1 
