,Price,Address,Prop_type,Size,Bath,Bed
0, 235 000 € ," Braga -   Guimarães, São Cristóvão (Selho)  ",House,  211 m2 ,  3 ,  3 
1, 289 000 € ," Braga -   Amares, Barreiros  ",House,  264 m2 ,  0 ,  4 
2, 57 500 € ," Braga -   Vieira do Minho, Vieira do Minho  ",House,  76 m2 ,  1 ,  3 
3, 140 000 € ," Braga -   Vieira do Minho, Mosteiro  ",House,  144 m2 ,  0 ,  4 
4, 385 000 € ," Braga -   Barcelos, Campo e Tamel (São Pedro Fins)  ",House,  483 m2 ,  3 ,  3 
5, 430 000 € ," Braga -   Braga, Palmeira  ",House,  332 m2 ,  0 ,  3 
6, 210 000 € ," Braga -   Celorico de Basto, Canedo de Basto e Corgo  ",House,  198 m2 ,  2 ,  3 
7, 375 000 € ," Braga -   Braga, Nogueiró e Tenões  ",House,  221 m2 ,  4 ,  3 
8, 146 000 € ," Braga -   Guimarães, Azurém  ",House,  100 m2 ,  1 ,  2 
9, 750 000 € ," Braga -   Vila Nova de Famalicão, Santa Maria Oliveira  ",House,  490 m2 ,  6 ,  4 
10, 58 000 € ," Braga -   Amares, Bouro (Santa Marta)  ",House,  59 m2 ,  0 ,  0 
11, 289 900 € ," Braga -   Guimarães, Conde e Gandarela  ",House,  212 m2 ,  3 ,  5 
12, 229 000 € ," Braga -   Fafe, Armil  ",House,  295 m2 ,  3 ,  3 
13, 200 000 € ," Braga -   Guimarães, Serzedo e Calvos  ",House,  98 m2 ,  2 ,  3 
14, 245 000 € ," Braga -   Guimarães, Prazins Santo Tirso e Corvite  ",House,  207 m2 ,  3 ,  4 
15, 280 000 € ," Braga -   Guimarães, Candoso São Tiago e Mascotelos  ",House,  280 m2 ,  3 ,  3 
16, 49 990 € ," Braga -   Amares, Vilela, Seramil e Paredes Secas  ",House,  69 m2 ,  0 ,  0 
17, 185 000 € ," Braga -   Barcelos, Várzea  ",House,  84 m2 ,  3 ,  5 
