,Price,Address,Prop_type,Size,Bath,Bed
0, 600 €  /  Monthly  ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Condo/Apartment,  34 m2 ,  1 ,  1 
1, 500 €  /  Monthly  ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Store,  30 m2 ,  1 ,  -- 
2, 300 €  /  Monthly  ," Braga -   Guimarães, Caldelas  ",Store,  51 m2 ,  0 ,  -- 
3, 350 €  /  Monthly  ," Braga -   Guimarães, Costa  ",House,  35 m2 ,  1 ,  1 
4, 390 €  /  Monthly  ," Braga -   Vieira do Minho, Vieira do Minho  ",Store,  50 m2 ,  0 ,  -- 
5, 320 €  /  Monthly  ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Business Office,  37 m2 ,  0 ,  -- 
6, 1 350 €  /  Monthly  ," Braga -   Braga, Palmeira  ",House,  124 m2 ,  4 ,  3 
7, 500 €  /  Monthly  ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Condo/Apartment,  65 m2 ,  1 ,  2 
8, 750 €  /  Monthly  ," Braga -   Amares, Lago  ",House,  288 m2 ,  2 ,  3 
9, 500 €  /  Monthly  ," Braga -   Fafe, Fafe  ",Store,  71 m2 ,  0 ,  -- 
10, 1 950 €  /  Monthly  ," Braga -   Guimarães, Costa  ",Condo/Apartment,  186 m2 ,  3 ,  3 
11, 400 €  /  Monthly  ," Braga -   Braga, Lomar e Arcos  ",Store,  200 m2 ,  1 ,  -- 
12, 590 €  /  Monthly  ," Braga -   Braga, Braga (Maximinos, Sé e Cividade)  ",Condo/Apartment,  25 m2 ,  1 ,  0 
13, 650 €  /  Monthly  ," Braga -   Braga, São Victor  ",Store,  120 m2 ,  1 ,  -- 
14, 1 800 €  /  Monthly  ," Braga -   Vila Verde, Lage  ",House,  287 m2 ,  0 ,  4 
15, 500 €  /  Monthly  ," Braga -   Braga, Braga (Maximinos, Sé e Cividade)  ",Condo/Apartment,  25 m2 ,  1 ,  0 
16, 600 €  /  Monthly  ," Braga -   Póvoa de Lanhoso, Rendufinho  ",Farm,  0 m2 ,  0 ,  -- 
17, 400 €  /  Monthly  ," Braga -   Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  ",Store,  60 m2 ,  1 ,  -- 
18, 825 €  /  Monthly  ," Braga -   Braga, São Victor  ",Condo/Apartment,  94 m2 ,  2 ,  2 
19, 950 €  /  Monthly  ," Braga -   Braga, Real, Dume e Semelhe  ",Condo/Apartment,  103 m2 ,  2 ,  3 
20, 750 €  /  Monthly  ," Braga -   Vila Verde, Vila Verde e Barbudo  ",Condo/Apartment,  110 m2 ,  0 ,  3 
21, 1 250 €  /  Monthly  ," Braga -   Barcelos, Gamil e Midões  ",House,  190 m2 ,  4 ,  4 
22, 650 €  /  Monthly  ," Braga -   Amares, Ferreiros, Prozelo e Besteiros  ",Condo/Apartment,  105 m2 ,  4 ,  2 
23, 200 €  /  Monthly  ," Braga -   Celorico de Basto, Britelo, Gémeos e Ourilhe  ",Business Office,  55 m2 ,  1 ,  -- 
24, 200 €  /  Monthly  ," Braga -   Celorico de Basto, Britelo, Gémeos e Ourilhe  ",Business Office,  55 m2 ,  1 ,  -- 
25, 350 €  /  Monthly  ," Braga -   Celorico de Basto, Britelo, Gémeos e Ourilhe  ",Business Office,  75 m2 ,  1 ,  -- 
26, 300 €  /  Monthly  ," Braga -   Celorico de Basto, Britelo, Gémeos e Ourilhe  ",Business Office,  75 m2 ,  1 ,  -- 
27, 600 €  /  Monthly  ," Braga -   Braga, São Victor  ",Store,  119 m2 ,  0 ,  -- 
28, 1 600 €  /  Monthly  ," Braga -   Braga, Ferreiros e Gondizalves  ",House,  243 m2 ,  4 ,  3 
29, 1 000 €  /  Monthly  ," Braga -   Amares, Fiscal  ",Warehouse,  318 m2 ,  0 ,  -- 
30, 150 €  /  Monthly  ," Braga -   Amares, Fiscal  ",Business Office,  318 m2 ,  0 ,  -- 
31, 900 €  /  Monthly  ," Braga -   Braga, Braga (Maximinos, Sé e Cividade)  ",Condo/Apartment,  125 m2 ,  2 ,  3 
32, 1 350 €  /  Monthly  ," Braga -   Braga, Celeirós, Aveleda e Vimieiro  ",Warehouse,  500 m2 ,  2 ,  0 
33, 500 €  /  Monthly  ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Store,  88 m2 ,  -- ,  -- 
34, 1 700 €  /  Monthly  ," Braga -   Guimarães, Serzedo e Calvos  ",Industrial,  658 m2 ,  0 ,  -- 
35, 450 €  /  Monthly  ," Braga -   Vila Nova de Famalicão, Requião  ",Store,  108 m2 ,  0 ,  -- 
36, 700 €  /  Monthly  ," Braga -   Braga, Santa Lucrécia de Algeriz e Navarra  ",House,  140 m2 ,  1 ,  1 
37, 3 000 €  /  Monthly  ," Braga -   Vila Nova de Famalicão, Ribeirão  ",Warehouse,  950 m2 ,  0 ,  -- 
38, 1 500 €  /  Monthly  ," Braga -   Vila Nova de Famalicão, Esmeriz e Cabeçudos  ",Store,  77 m2 ,  0 ,  -- 
39, 750 €  /  Monthly  ," Braga -   Vila Verde, Vila Verde e Barbudo  ",Condo/Apartment,  101 m2 ,  2 ,  3 
40, 600 €  /  Monthly  ," Braga -   Guimarães, Oliveira, São Paio e São Sebastião  ",Warehouse,  161 m2 ,  0 ,  -- 
41, 1 700 €  /  Monthly  ," Braga -   Braga, São Vicente  ",Condo/Apartment,  186 m2 ,  3 ,  4 
42, 500 €  /  Monthly  ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Store,  57 m2 ,  0 ,  1 
43, 850 €  /  Monthly  ," Braga -   Vila Verde, Ribeira do Neiva  ",House,  70 m2 ,  1 ,  2 
44, 475 €  /  Monthly  ," Braga -   Guimarães, Pencelo  ",Store,  98 m2 ,  10 ,  -- 
45, 800 €  /  Monthly  ," Braga -   Braga, Nogueira, Fraião e Lamaçães  ",Condo/Apartment,  113 m2 ,  2 ,  3 
46, 750 €  /  Monthly  ," Braga -   Vila Nova de Famalicão, Vila Nova de Famalicão e Calendário  ",Store,  112 m2 ,  2 ,  -- 
47, 300 €  /  Monthly  ," Braga -   Guimarães, Candoso São Tiago e Mascotelos  ",Store,  76 m2 ,  2 ,  -- 
48, 350 €  /  Monthly  ," Braga -   Esposende, Belinho e Mar  ",Store,  50 m2 ,  1 ,  -- 
49, 1 000 €  /  Monthly  ," Braga -   Guimarães, Azurém  ",Store,  163 m2 ,  0 ,  -- 
50, 390 €  /  Monthly  ," Braga -   Amares, Ferreiros, Prozelo e Besteiros  ",Others - Commercial,  168 m2 ,  2 ,  -- 
51, 250 €  /  Monthly  ," Braga -   Braga, Braga (São José de São Lázaro e São João do Souto)  ",Others - Commercial,  934 m2 ,  1 ,  -- 
52, 200 €  /  Monthly  ," Braga -   Braga, São Vicente  ",Business Office,  32 m2 ,  0 ,  -- 
53, 300 €  /  Monthly  ," Braga -   Guimarães, Fermentões  ",Store,  60 m2 ,  1 ,  -- 
54, 200 €  /  Monthly  ," Braga -   Guimarães, Azurém  ",Store,  42 m2 ,  0 ,  -- 
55, 550 €  /  Monthly  ," Braga -   Guimarães, Costa  ",Store,  47 m2 ,  0 ,  -- 
56, 250 €  /  Monthly  ," Braga -   Braga, São Vicente  ",Business Office,  27 m2 ,  0 ,  -- 
57, 790 €  /  Monthly  ," Braga -   Braga, Ferreiros e Gondizalves  ",Condo/Apartment,  122 m2 ,  0 ,  3 
