,Price,Address,Prop_type,Size,Bath,Bed
0, 220 000 € ," Lisboa -   Amadora, Alfragide  ",Condo/Apartment,  58 m2 ,  1 ,  1 
1, 157 000 € ," Lisboa -   Sintra, Agualva e Mira-Sintra  ",Condo/Apartment,  80 m2 ,  1 ,  2 
2, 150 000 € ," Lisboa -   Odivelas, Pontinha e Famões  ",Condo/Apartment,  75 m2 ,  1 ,  2 
3, 200 000 € ," Lisboa -   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  ",Condo/Apartment,  112 m2 ,  2 ,  3 
4, 248 000 € ," Lisboa -   Cascais, Carcavelos e Parede  ",Condo/Apartment,  75 m2 ,  1 ,  2 
5, 159 000 € ," Lisboa -   Sintra, Rio de Mouro  ",Condo/Apartment,  72 m2 ,  1 ,  2 
6, 118 500 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  92 m2 ,  1 ,  2 
7, 195 000 € ," Lisboa -   Mafra, Azueira e Sobral da Abelheira  ",Condo/Apartment,  103890 m2 ,  1 ,  2 
8, 179 000 € ," Lisboa -   Lisboa, Santa Maria Maior  ",Condo/Apartment,  30 m2 ,  0 ,  1 
9, 187 000 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  74 m2 ,  1 ,  1 
10, 135 000 € ," Lisboa -   Amadora, Águas Livres  ",Condo/Apartment,  54 m2 ,  1 ,  1 
11, 197 000 € ," Lisboa -   Sintra, Massamá e Monte Abraão  ",Condo/Apartment,  75 m2 ,  1 ,  1 
12, 145 000 € ," Lisboa -   Sintra, Massamá e Monte Abraão  ",Condo/Apartment,  42 m2 ,  1 ,  1 
13, 163 000 € ," Lisboa -   Vila Franca de Xira, Vila Franca de Xira  ",Condo/Apartment,  92 m2 ,  2 ,  3 
14, 151 000 € ," Lisboa -   Amadora, Falagueira - Venda Nova  ",Condo/Apartment,  68 m2 ,  1 ,  2 
15, 239 000 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  80 m2 ,  1 ,  2 
16, 169 000 € ," Lisboa -   Odivelas, Odivelas  ",Condo/Apartment,  71 m2 ,  1 ,  3 
17, 156 000 € ," Lisboa -   Sintra, Cacém e São Marcos  ",Condo/Apartment,  73 m2 ,  1 ,  1 
18, 227 000 € ," Lisboa -   Lisboa, Campo de Ourique  ",Condo/Apartment,  35 m2 ,  1 ,  1 
19, 149 000 € ," Lisboa -   Loures, Camarate, Unhos e Apelação  ",Condo/Apartment,  65 m2 ,  1 ,  2 
20, 180 000 € ," Lisboa -   Lisboa, Alvalade  ",Condo/Apartment,  42 m2 ,  1 ,  1 
