,Price,Address,Prop_type,Size,Bath,Bed
0, 72 500 € ," Lisboa -   Vila Franca de Xira, Alhandra, São João dos Montes e Calhandriz  ",House,  80 m2 ,  1 ,  3 
1, 680 000 € ," Lisboa -   Oeiras, Barcarena  ",House,  119 m2 ,  3 ,  3 
2, 260 000 € ," Lisboa -   Torres Vedras, A dos Cunhados e Maceira  ",House,  206 m2 ,  2 ,  5 
3, 425 000 € ," Lisboa -   Mafra, Azueira e Sobral da Abelheira  ",House,  233 m2 ,  2 ,  3 
4, 870 000 € ," Lisboa -   Sintra, Queluz e Belas  ",House,  233 m2 ,  4 ,  4 
5, 385 000 € ," Lisboa -   Loures, Santa Iria de Azoia, São João da Talha e Bobadela  ",House,  138 m2 ,  3 ,  4 
6, 469 000 € ," Lisboa -   Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)  ",House,  154 m2 ,  2 ,  3 
7, 3 360 000 € ," Lisboa -   Lisboa, Lumiar  ",House,  485 m2 ,  6 ,  4 
8, 920 000 € ," Lisboa -   Lisboa, Ajuda  ",House,  84 m2 ,  2 ,  4 
9, 175 000 € ," Lisboa -   Loures, Fanhões  ",House,  96 m2 ,  2 ,  2 
10, 455 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",House,  108 m2 ,  2 ,  4 
11, 398 000 € ," Lisboa -   Torres Vedras, Silveira  ",House,  170 m2 ,  3 ,  3 
12, 89 000 € ," Lisboa -   Torres Vedras, Campelos e Outeiro da Cabeça  ",House,  44 m2 ,  1 ,  1 
13, 230 000 € ," Lisboa -   Vila Franca de Xira, Alhandra, São João dos Montes e Calhandriz  ",House,  171 m2 ,  2 ,  3 
14, 1 280 000 € ," Lisboa -   Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar  ",House,  158 m2 ,  3 ,  4 
15, 90 000 € ," Lisboa -   Alenquer, Aldeia Galega da Merceana e Aldeia Gavinha  ",House,  180 m2 ,  1 ,  2 
16, 70 000 € ," Lisboa -   Lourinhã, Lourinhã e Atalaia  ",House,  82 m2 ,  3 ,  3 
17, 130 000 € ," Lisboa -   Loures, Santo Antão e São Julião do Tojal  ",House,  45 m2 ,  1 ,  1 
18, 360 000 € ," Lisboa -   Sintra, Queluz e Belas  ",House,  138 m2 ,  2 ,  4 
19, 235 000 € ," Lisboa -   Torres Vedras, Freiria  ",House,  308 m2 ,  3 ,  4 
20, 2 195 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",House,  278 m2 ,  5 ,  5 
21, 135 000 € ," Lisboa -   Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar  ",House,  180 m2 ,  2 ,  3 
22, 80 000 € ," Lisboa -   Lourinhã, Miragaia e Marteleira  ",House,  75 m2 ,  0 ,  2 
23, 1 800 000 € ," Lisboa -   Cascais, Carcavelos e Parede  ",House,  351 m2 ,  5 ,  7 
24, 210 000 € ," Lisboa -   Cadaval, Alguber  ",House,  174 m2 ,  4 ,  3 
25, 790 000 € ," Lisboa -   Cascais, São Domingos de Rana  ",House,  245 m2 ,  3 ,  3 
26, 289 000 € ," Lisboa -   Sintra, Casal de Cambra  ",House,  132 m2 ,  3 ,  4 
27, 550 000 € ," Lisboa -   Cascais, Carcavelos e Parede  ",House,  125 m2 ,  3 ,  3 
28, 475 000 € ," Lisboa -   Cascais, São Domingos de Rana  ",House,  159 m2 ,  3 ,  3 
29, 650 000 € ," Lisboa -   Oeiras, Barcarena  ",House,  260 m2 ,  4 ,  5 
30, 4 500 000 € ," Lisboa -   Lisboa, Belém  ",House,  336 m2 ,  5 ,  5 
31, 190 000 € ," Lisboa -   Alenquer, Alenquer (Santo Estêvão e Triana)  ",House,  146 m2 ,  2 ,  4 
32, 138 000 € ," Lisboa -   Vila Franca de Xira, Vila Franca de Xira  ",House,  59 m2 ,  0 ,  1 
33, 1 300 000 € ," Lisboa -   Lisboa, Belém  ",House,  190 m2 ,  4 ,  4 
34, 1 495 000 € ," Lisboa -   Cascais, Cascais e Estoril  ",House,  250 m2 ,  4 ,  4 
35, 490 000 € ," Lisboa -   Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias  ",House,  85 m2 ,  1 ,  2 
36, 275 000 € ," Lisboa -   Torres Vedras, Silveira  ",House,  487 m2 ,  4 ,  3 
