Price,Prop_type,Size,Bath,Bed,Term,City,Division
50,3,15,0,0,/ Monthly,Valongo, Valongo  
700,1,80,0,2,/ Monthly,Marco de Canaveses, Várzea
1600,2,145,3,3,/ Monthly,Porto, Cedofeita
1100,2,110,2,2,/ Monthly,Maia, Cidade da Maia  
900,2,100,2,3,/ Monthly,Porto, Campanhã  
950,2,49,1,1,/ Monthly,Porto, Cedofeita
770,2,88,1,2,/ Monthly,Gondomar, Gondomar (São Cosme)
850,2,110,1,3,/ Monthly,Gondomar, Rio Tinto  
700,2,90,2,2,/ Monthly,Paredes, Paredes  
900,2,129,3,3,/ Monthly,Valongo, Valongo  
950,2,94,2,2,/ Monthly,Vila Nova de Gaia, Oliveira do Douro  
1100,2,95,0,2,/ Monthly,Matosinhos, Perafita
700,2,49,1,1,/ Monthly,Gondomar, Rio Tinto  
650,3,75,1,0,/ Monthly,Porto, Bonfim  
1600,2,95,2,2,/ Monthly,Porto, Aldoar
1300,2,90,2,2,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
1200,3,174,3,4,/ Monthly,Porto, Paranhos  
1200,2,61,1,1,/ Monthly,Porto, Ramalde  
790,2,79,1,2,/ Monthly,Gondomar, Rio Tinto  
880,2,94,1,2,/ Monthly,Gondomar, Gondomar (São Cosme)
1900,2,115,3,3,/ Monthly,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
1000,2,111,2,3,/ Monthly,Matosinhos, São Mamede de Infesta e Senhora da Hora  
2750,2,215,4,4,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
1250,2,162,2,3,/ Monthly,Maia, Castêlo da Maia  
250,3,27,0,0,/ Monthly,Paredes, Paredes  
1300,2,148,3,4,/ Monthly,Porto, Cedofeita
2000,2,150,0,3,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
1350,2,127,2,3,/ Monthly,Porto, Campanhã  
880,2,93,2,3,/ Monthly,Gondomar, Rio Tinto  
1150,2,66,1,2,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
840,2,82,1,2,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
1300,1,105,2,3,/ Monthly,Matosinhos, São Mamede de Infesta e Senhora da Hora  
1100,2,104,2,2,/ Monthly,Gondomar, Rio Tinto  
950,2,40,1,0,/ Monthly,Porto, Cedofeita
550,2,120,2,3,/ Monthly,Felgueiras, Margaride (Santa Eulália)
550,2,92,1,2,/ Monthly,Felgueiras, Margaride (Santa Eulália)
400,1,80,1,1,/ Monthly,Felgueiras, Refontoura  
750,2,79,1,1,/ Monthly,Maia, Castêlo da Maia  
800,2,85,1,2,/ Monthly,Vila Nova de Gaia, Canidelo  
1200,2,101,2,2,/ Monthly,Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  
1200,2,120,0,2,/ Monthly,Porto, Cedofeita
1200,2,87,1,1,/ Monthly,Porto, Cedofeita
4500,2,234,3,4,/ Monthly,Matosinhos, Matosinhos e Leça da Palmeira  
850,2,87,2,3,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
800,2,100,2,2,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
720,2,85,1,2,/ Monthly,Gondomar, Gondomar (São Cosme)
790,2,91,1,2,/ Monthly,Gondomar, Fânzeres e São Pedro da Cova  
920,2,118,2,2,/ Monthly,Gondomar, Rio Tinto  
