Price,Address,Prop_type,Size,Bath,Bed
 295 000 € ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",House,  140 m2 ,  2 ,  3 
 22 500 € ," Porto -   Baião, Ancede e Ribadouro  ",House,  46 m2 ,  0 ,  2 
 485 000 € ," Porto -   Vila do Conde, Vila Chã  ",House,  152 m2 ,  3 ,  4 
 1 250 000 € ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",House,  527 m2 ,  0 ,  10 
 67 000 € ," Porto -   Paços de Ferreira, Carvalhosa  ",House,  75 m2 ,  1 ,  2 
 147 000 € ," Porto -   Trofa, Alvarelhos e Guidões  ",House,  475 m2 ,  4 ,  4 
 280 000 € ," Porto -   Maia, Nogueira e Silva Escura  ",House,  120 m2 ,  4 ,  3 
 459 000 € ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",House,  149 m2 ,  8 ,  3 
 150 000 € ," Porto -   Amarante, Candemil  ",House,  160 m2 ,  1 ,  3 
 162 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  463 m2 ,  0 ,  5 
 395 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  445 m2 ,  5 ,  4 
 240 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  250 m2 ,  3 ,  3 
 195 500 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",House,  45 m2 ,  2 ,  2 
 1 150 000 € ," Porto -   Porto, Ramalde  ",House,  288 m2 ,  4 ,  4 
 670 000 € ," Porto -   Maia, Nogueira e Silva Escura  ",House,  253 m2 ,  3 ,  3 
 850 000 € ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",House,  128 m2 ,  2 ,  4 
 450 000 € ," Porto -   Trofa, Coronado (São Romão e São Mamede)  ",House,  319 m2 ,  6 ,  3 
 170 000 € ," Porto -   Maia, Cidade da Maia  ",House,  85 m2 ,  1 ,  3 
 270 000 € ," Porto -   Maia, Cidade da Maia  ",House,  85 m2 ,  1 ,  3 
 850 000 € ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",House,  202 m2 ,  3 ,  4 
 289 900 € ," Porto -   Vila Nova de Gaia, Arcozelo  ",House,  166 m2 ,  2 ,  4 
 209 990 € ," Porto -   Santo Tirso, Roriz  ",House,  145 m2 ,  0 ,  3 
 349 990 € ," Porto -   Póvoa de Varzim, Póvoa de Varzim, Beiriz e Argivai  ",House,  170 m2 ,  0 ,  5 
 90 000 € ," Porto -   Marco de Canaveses, Paredes de Viadores e Manhuncelos  ",House,  96 m2 ,  2 ,  2 
 291 000 € ," Porto -   Vila Nova de Gaia, Vilar de Andorinho  ",House,  183 m2 ,  5 ,  4 
 45 000 € ," Porto -   Lousada, Lustosa e Barrosas (Santo Estêvão)  ",House,  44 m2 ,  1 ,  2 
 208 050 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",House,  77 m2 ,  1 ,  2 
 349 000 € ," Porto -   Maia, Moreira  ",House,  1000 m2 ,  2 ,  4 
 199 900 € ," Porto -   Felgueiras, Pedreira, Rande e Sernande  ",House,  160 m2 ,  4 ,  3 
 235 000 € ," Porto -   Porto, Bonfim  ",House,  35 m2 ,  3 ,  4 
 50 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  48 m2 ,  0 ,  2 
 400 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  187 m2 ,  0 ,  2 
 152 000 € ," Porto -   Baião, Teixeira e Teixeiró  ",House,  160 m2 ,  1 ,  3 
 290 000 € ," Porto -   Valongo, Ermesinde  ",House,  208 m2 ,  4 ,  6 
 255 000 € ," Porto -   Penafiel, Duas Igrejas  ",House,  172 m2 ,  2 ,  3 
 749 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  621 m2 ,  4 ,  6 
 58 000 € ," Porto -   Amarante, Fregim  ",House,  59 m2 ,  0 ,  1 
 252 500 € ," Porto -   Penafiel, São Martinho Recezinhos  ",House,  168 m2 ,  2 ,  3 
 57 000 € ," Porto -   Paredes, Vandoma  ",House,  94 m2 ,  1 ,  2 
 295 000 € ," Porto -   Valongo, Valongo  ",House,  246 m2 ,  3 ,  4 
 200 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  112 m2 ,  1 ,  2 
 1 750 000 € ," Porto -   Paredes, Vandoma  ",House,  220 m2 ,  5 ,  6 
 325 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  140 m2 ,  2 ,  3 
 425 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  220 m2 ,  0 ,  3 
 390 000 € ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",House,  112 m2 ,  2 ,  3 
 149 500 € ," Porto -   Santo Tirso, Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães  ",House,  100 m2 ,  2 ,  3 
 59 900 € ," Porto -   Felgueiras, Torrados e Sousa  ",House,  479 m2 ,  0 ,  3 
 165 000 € ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  102 m2 ,  0 ,  2 
 2 900 000 € ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",House,  580 m2 ,  7 ,  6 
 155 000 € ," Porto -   Santo Tirso, Rebordões  ",House,  639 m2 ,  2 ,  3 
 357 000 € ," Porto -   Marco de Canaveses, Paredes de Viadores e Manhuncelos  ",House,  177 m2 ,  3 ,  3 
 700 000 € ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",House,  245 m2 ,  4 ,  3 
 75 000 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",House,  80 m2 ,  0 ,  1 
 355 000 € ," Porto -   Valongo, Alfena  ",House,  279 m2 ,  4 ,  4 
 110 000 € ," Porto -   Amarante, Lomba  ",House,  72 m2 ,  0 ,  2 
 849 500 € ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",House,  220 m2 ,  4 ,  4 
 150 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  26 m2 ,  1 ,  1 
 180 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  40 m2 ,  1 ,  1 
 350 000 € ," Porto -   Vila Nova de Gaia, Canidelo  ",House,  168 m2 ,  2 ,  4 
 275 000 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",House,  142 m2 ,  3 ,  3 
 159 900 € ," Porto -   Santo Tirso, Rebordões  ",House,  112 m2 ,  2 ,  3 
 106 500 € ," Porto -   Trofa, Alvarelhos e Guidões  ",House,  92 m2 ,  1 ,  3 
 430 000 € ," Porto -   Maia, Pedrouços  ",House,  163 m2 ,  3 ,  3 
 25 000 € ," Porto -   Santo Tirso, Vila Nova do Campo  ",House,  248 m2 ,  0 ,  2 
 60 000 € ," Porto -   Lousada, Nevogilde  ",House,  50 m2 ,  1 ,  2 
 35 000 € ," Porto -   Penafiel, Canelas  ",House,  90 m2 ,  0 ,  1 
 167 500 € ," Porto -   Penafiel, Canelas  ",House,  88 m2 ,  2 ,  4 
 79 950 € ," Porto -   Felgueiras, Vila Cova da Lixa e Borba de Godim  ",House,  94 m2 ,  0 ,  3 
 215 000 € ," Porto -   Felgueiras, Airães  ",House,  122 m2 ,  3 ,  3 
 51 500 € ," Porto -   Felgueiras, Pombeiro de Ribavizela  ",House,  120 m2 ,  0 ,  0 
 106 000 € ," Porto -   Amarante, Fregim  ",House,  161 m2 ,  1 ,  2 
 47 500 € ," Porto -   Baião, Teixeira e Teixeiró  ",House,  63 m2 ,  0 ,  0 
 3 500 € ," Porto -   Baião, Teixeira e Teixeiró  ",House,  44 m2 ,  0 ,  1 
 750 000 € ," Porto -   Maia, Cidade da Maia  ",House,  212 m2 ,  5 ,  4 
 125 000 € ," Porto -   Santo Tirso, Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães  ",House,  265 m2 ,  6 ,  5 
 449 000 € ," Porto -   Maia, Moreira  ",House,  190 m2 ,  4 ,  4 
 265 000 € ," Porto -   Trofa, Coronado (São Romão e São Mamede)  ",House,  350 m2 ,  3 ,  4 
 1 350 000 € ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",House,  372 m2 ,  5 ,  4 
 270 000 € ," Porto -   Santo Tirso, Roriz  ",House,  296 m2 ,  3 ,  3 
 295 000 € ," Porto -   Santo Tirso, Areias, Sequeiró, Lama e Palmeira  ",House,  300 m2 ,  2 ,  3 
 279 000 € ," Porto -   Valongo, Ermesinde  ",House,  209 m2 ,  3 ,  4 
 55 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  82 m2 ,  1 ,  2 
 139 000 € ," Porto -   Vila Nova de Gaia, Pedroso e Seixezelo  ",House,  84 m2 ,  2 ,  4 
 1 200 000 € ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",House,  165 m2 ,  10 ,  8 
 130 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  43 m2 ,  1 ,  2 
 165 000 € ," Porto -   Paredes, Vilela  ",House,  112 m2 ,  1 ,  2 
 66 000 € ," Porto -   Paços de Ferreira, Eiriz  ",House,  93 m2 ,  0 ,  0 
 585 000 € ," Porto -   Valongo, Valongo  ",House,  300 m2 ,  7 ,  4 
 494 000 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",House,  210 m2 ,  4 ,  4 
 695 000 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,  278 m2 ,  4 ,  4 
 155 000 € ," Porto -   Vila Nova de Gaia, Sandim, Olival, Lever e Crestuma  ",House,  56 m2 ,  1 ,  3 
 36 500 € ," Porto -   Amarante, Figueiró (Santiago e Santa Cristina)  ",House,  102 m2 ,  0 ,  2 
 450 000 € ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",House,  154 m2 ,  4 ,  4 
 530 000 € ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  260 m2 ,  3 ,  3 
 110 000 € ," Porto -   Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,  40 m2 ,  1 ,  2 
 170 000 € ," Porto -   Valongo, Ermesinde  ",House,  240 m2 ,  2 ,  3 
 289 900 € ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  174 m2 ,  3 ,  4 
 175 000 € ," Porto -   Valongo, Ermesinde  ",House,  134 m2 ,  2 ,  3 
 45 000 € ," Porto -   Marco de Canaveses, Sande e São Lourenço  ",House,  104 m2 ,  0 ,  2 
 70 000 € ," Porto -   Vila Nova de Gaia, Serzedo e Perosinho  ",House,  90 m2 ,  2 ,  3 
 435 000 € ," Porto -   Paredes, Vilela  ",House,  384 m2 ,  3 ,  5 
 160 000 € ," Porto -   Amarante, Vila Meã  ",House,  200 m2 ,  1 ,  4 
 125 000 € ," Porto -   Amarante, Real, Ataíde e Oliveira  ",House,  99 m2 ,  1 ,  2 
 195 000 € ," Porto -   Penafiel, Paço de Sousa  ",House,  196 m2 ,  1 ,  2 
 300 000 € ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",House,  144 m2 ,  2 ,  5 
 199 000 € ," Porto -   Vila do Conde, Vila do Conde  ",House,  74 m2 ,  2 ,  3 
 189 000 € ," Porto -   Penafiel, Eja  ",House,  52 m2 ,  1 ,  2 
